name,type,category,power,accuracy,pp,effect,probability
"10,000,000 Volt Thunderbolt",Electric,Special,195,—,1,Pikachu-exclusive Z-Move. High critical hit ratio.,—
Absorb,Grass,Special,20,100,25,User recovers half the HP inflicted on opponent.,—
Accelerock,Rock,Physical,40,100,20,User attacks first.,—
Acid,Poison,Special,40,100,30,May lower opponent's Special Defense.,10
Acid Armor,Poison,Status,—,—,20,Sharply raises user's Defense.,—
Acid Downpour,Poison,—,—,—,1,Poison type Z-Move.,—
Acid Spray,Poison,Special,40,100,20,Sharply lowers opponent's Special Defense.,100
Acrobatics,Flying,Physical,55,100,15,Stronger when the user does not have a held item.,—
Acupressure,Normal,Status,—,—,30,Sharply raises a random stat.,—
Aerial Ace,Flying,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,—
Aeroblast,Flying,Special,100,95,5,High critical hit ratio.,—
After You,Normal,Status,—,—,15,Gives target priority in the next turn.,—
Agility,Psychic,Status,—,—,30,Sharply raises user's Speed.,—
Air Cutter,Flying,Special,60,95,25,High critical hit ratio.,—
Air Slash,Flying,Special,75,95,15,May cause flinching.,30
All-Out Pummeling,Fighting,—,—,—,1,Fighting type Z-Move.,—
Alluring Voice,Fairy,Special,80,100,10,,—
Ally Switch,Psychic,Status,—,—,15,User switches with opposite teammate.,—
Amnesia,Psychic,Status,—,—,20,Sharply raises user's Special Defense.,—
Anchor Shot,Steel,Physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,—
Ancient Power,Rock,Special,60,100,5,May raise all user's stats at once.,10
Apple Acid,Grass,Special,80,100,10,Lowers target's Special Defense.,100
Aqua Cutter,Water,Physical,70,100,20,High critical hit ratio.,—
Aqua Jet,Water,Physical,40,100,20,User attacks first.,—
Aqua Ring,Water,Status,—,—,20,Restores a little HP each turn.,—
Aqua Step,Water,Physical,80,100,10,Raises user's Speed.,100
Aqua Tail,Water,Physical,90,90,10,,—
Arm Thrust,Fighting,Physical,15,100,20,Hits 2-5 times in one turn.,—
Armor Cannon,Fire,Special,120,100,5,Lowers user's Defense and Special Defense.,—
Aromatherapy,Grass,Status,—,—,5,Cures all status problems in your party.,—
Aromatic Mist,Fairy,Status,—,—,20,Raises Special Defense of an ally.,—
Assist,Normal,Status,—,—,20,User performs a move known by its allies at random.,—
Assurance,Dark,Physical,60,100,10,Power doubles if opponent already took damage in the same turn.,—
Astonish,Ghost,Physical,30,100,15,May cause flinching.,30
Astral Barrage,Ghost,Special,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,—
Attack Order,Bug,Physical,90,100,15,High critical hit ratio.,—
Attract,Normal,Status,—,100,15,"If opponent is the opposite gender, it's less likely to attack.",—
Aura Sphere,Fighting,Special,80,∞,20,Ignores Accuracy and Evasiveness.,—
Aura Wheel,Electric,Physical,110,100,10,Changes type based on Morpeko's Mode.,100
Aurora Beam,Ice,Special,65,100,20,May lower opponent's Attack.,10
Aurora Veil,Ice,Status,—,—,20,Halves damage from Physical and Special attacks for five turns.,—
Autotomize,Steel,Status,—,—,15,Reduces weight and sharply raises Speed.,—
Avalanche,Ice,Physical,60,100,10,Power doubles if user took damage first.,—
Axe Kick,Fighting,Physical,120,90,10,"May confuse opponent. If it misses, the user loses HP.",—
Baby-Doll Eyes,Fairy,Status,—,100,30,Always goes first. Lowers the target's attack.,—
Baddy Bad,Dark,Special,90,100,15,Reduces damage from Physical attacks.,—
Baneful Bunker,Poison,Status,—,—,10,Protects the user and poisons opponent on contact.,—
Barb Barrage,Poison,Physical,60,100,10,May poison opponent; inflicts double damage if the target is already poisoned.,—
Barrage,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,—
Barrier,Psychic,Status,—,—,20,Sharply raises user's Defense.,—
Baton Pass,Normal,Status,—,—,40,User switches out and gives stat changes to the incoming Pokémon.,—
Beak Blast,Flying,Physical,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",—
Beat Up,Dark,Physical,—,100,10,Each Pokémon in user's party attacks.,—
Behemoth Bash,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,—
Behemoth Blade,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,—
Belch,Poison,Special,120,90,10,User must have consumed a Berry.,—
Belly Drum,Normal,Status,—,—,10,"User loses 50% of its max HP, but Attack raises to maximum.",—
Bestow,Normal,Status,—,—,15,Gives the user's held item to the target.,—
Bide,Normal,Physical,—,—,10,User takes damage for two turns then strikes back double.,—
Bind,Normal,Physical,15,85,20,"Traps opponent, damaging them for 4-5 turns.",100
Bite,Dark,Physical,60,100,25,May cause flinching.,30
