keys,en,ja,fr,de,es,it,ko,zh_HK,zh
NAME_PkMn_BULBASAUR,Bulbasaur,フシギダネ,Bulbizarre,Bisasam,Bulbasaur,Bulbasaur,이상해씨,妙蛙種子,妙蛙种子
NAME_PkMn_IVYSAUR,Ivysaur,フシギソウ,Herbizarre,Bisaknosp,Ivysaur,Ivysaur,이상해풀,妙蛙草,妙蛙草
NAME_PkMn_VENUSAUR,Venusaur,フシギバナ,Florizarre,Bisaflor,Venusaur,Venusaur,이상해꽃,妙蛙花,妙蛙花
NAME_PkMn_CHARMANDER,Charmander,ヒトカゲ,Salamèche,Glumanda,Charmander,Charmander,파이리,小火龍,小火龙
NAME_PkMn_CHARMELEON,Charmeleon,リザード,Reptincel,Glutexo,Charmeleon,Charmeleon,리자드,火恐龍,火恐龙
NAME_PkMn_CHARIZARD,Charizard,リザードン,Dracaufeu,Glurak,Charizard,Charizard,리자몽,噴火龍,喷火龙
NAME_PkMn_SQUIRTLE,Squirtle,ゼニガメ,Carapuce,Schiggy,Squirtle,Squirtle,꼬부기,傑尼龜,杰尼龟
NAME_PkMn_WARTORTLE,Wartortle,カメール,Carabaffe,Schillok,Wartortle,Wartortle,어니부기,卡咪龜,卡咪龟
NAME_PkMn_BLASTOISE,Blastoise,カメックス,Tortank,Turtok,Blastoise,Blastoise,거북왕,水箭龜,水箭龟
NAME_PkMn_CATERPIE,Caterpie,キャタピー,Chenipan,Raupy,Caterpie,Caterpie,캐터피,綠毛蟲,绿毛虫
NAME_PkMn_METAPOD,Metapod,トランセル,Chrysacier,Safcon,Metapod,Metapod,단데기,鐵甲蛹,铁甲蛹
NAME_PkMn_BUTTERFREE,Butterfree,バタフリー,Papilusion,Smettbo,Butterfree,Butterfree,버터플,巴大蝶,巴大蝶
NAME_PkMn_WEEDLE,Weedle,ビードル,Aspicot,Hornliu,Weedle,Weedle,뿔충이,獨角蟲,独角虫
NAME_PkMn_KAKUNA,Kakuna,コクーン,Coconfort,Kokuna,Kakuna,Kakuna,딱충이,獨角蟲,独角虫
NAME_PkMn_BEEDRILL,Beedrill,スピアー,Dardargnan,Bibor,Beedrill,Beedrill,독침붕,大针蜂,大针蜂
NAME_PkMn_PIDGEY,Pidgey,ポッポ,Roucool,Taubsi,Pidgey,Pidgey,구구,波波,波波
NAME_PkMn_PIDGEOTTO,Pidgeotto,ピジョン,Roucoups,Tauboga,Pidgeotto,Pidgeotto,피죤,比比鳥,比比鸟
NAME_PkMn_PIDGEOT,Pidgeot,ピジョット,Roucarnage,Tauboss,Pidgeot,Pidgeot,피죤투,大比鳥,大比鸟
NAME_PkMn_RATATTA,Ratatta,コラッタ,Ratatta,Rattfratz,Ratatta,Ratatta,꼬렛,小拉達,小拉达
NAME_PkMn_RATICATE,Raticate,ラッタ,Rattatac,Rattikarl,Raticate,Raticate,레트라,拉達,拉达
NAME_PkMn_SPEAROW,Spearow,オニスズメ,Piafabec,Habitak,Spearow,Spearow,깨비참,烈雀,烈雀
NAME_PkMn_FEAROW,Fearow,オニドリル,Rapasdepic,Ibitak,Fearow,Fearow,깨비드릴조,大嘴雀,大嘴雀
NAME_PkMn_EKANS,Ekans,アーボ,Abo,Rettan,Ekans,Ekans,아보,阿柏蛇,阿柏蛇
NAME_PkMn_ARBOK,Arbok,アーボック,Arbok,Arbok,Arbok,Arbok,아보크,阿柏怪,阿柏怪
NAME_PkMn_PIKACHU,Pikachu,ピカチュウ,Pikachu,Pikachu,Pikachu,Pikachu,피카츄,皮卡丘,皮卡丘
NAME_PkMn_RAICHU,Raichu,ライチュウ,Raichu,Raichu,Raichu,Raichu,라이츄,雷丘,雷丘
NAME_PkMn_SANDSHREW,Sandshrew,サンド,Sabelette,Sandan,Sandshrew,Sandshrew,모래두지,穿山鼠,穿山鼠
NAME_PkMn_SANDSLASH,Sandslash,サンドパン,Sablaireau,Sandamer,Sandslash,Sandslash,고지,穿山王,穿山王
NAME_PkMn_NIDORAN-F,Nidoran♀,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,尼多蘭,尼多兰
NAME_PkMn_NIDORINA,Nidorina,ニドリーナ,Nidorina,Nidorina,Nidorina,Nidorina,니드리나,尼多娜,尼多娜
NAME_PkMn_NIDOQUEEN,Nidoqueen,ニドクイン,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,尼多后,尼多后
NAME_PkMn_NIDORAN-M,Nidoran♂,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,尼多朗,尼多朗
NAME_PkMn_NIDORINO,Nidorino,ニドリーノ,Nidorino,Nidorino,Nidorino,Nidorino,니드리노,尼多力諾,尼多力诺
NAME_PkMn_NIDOKING,Nidoking,ニドキング,Nidoking,Nidoking,Nidoking,Nidoking,니드킹,尼多王,尼多王
NAME_PkMn_CLEFAIRY,Clefairy,ピッピ,Mélofée,Piepi,Clefairy,Clefairy,삐삐,皮皮,皮皮
NAME_PkMn_CLEFABLE,Clefable,ピクシー,Mélodelfe,Pixi,Clefable,Clefable,픽시,皮可西,皮可西
NAME_PkMn_VULPIX,Vulpix,ロコン,Goupix,Vulpix,Vulpix,Vulpix,식스테일,六尾,六尾
NAME_PkMn_NINETALES,Ninetales,キュウコン,Feunard,Vulnona,Ninetales,Ninetales,나인테일,九尾,九尾
NAME_PkMn_JIGGLYPUFF,Jigglypuff,プリン,Rondoudou,Pummeluff,Jigglypuff,Jigglypuff,푸린,胖丁,胖丁
NAME_PkMn_WIGGLYTUFF,Wigglytuff,プクリン,Grodoudou,Knuddeluff,Wigglytuff,Wigglytuff,푸크린,胖可丁,胖可丁
NAME_PkMn_ZUBAT,Zubat,ズバット,Nosferapti,Zubat,Zubat,Zubat,주뱃,超音蝠,超音蝠
NAME_PkMn_GOLBAT,Golbat,ゴルバット,Nosferalto,Golbat,Golbat,Golbat,골뱃,大嘴蝠,大嘴蝠
NAME_PkMn_ODDISH,Oddish,ナゾノクサ,Mystherbe,Myrapla,Oddish,Oddish,뚜벅쵸,走路草,走路草
NAME_PkMn_GLOOM,Gloom,クサイハナ,Ortide,Duflor,Gloom,Gloom,냄새꼬,臭臭花,臭臭花
NAME_PkMn_VILEPLUME,Vileplume,ラフレシア,Rafflesia,Giflor,Vileplume,Vileplume,라플레시아,霸王花,霸王花
NAME_PkMn_PARAS,Paras,パラス,Paras,Paras,Paras,Paras,파라스,派拉斯,派拉斯
NAME_PkMn_PARASECT,Parasect,パラセクト,Parasect,Parasek,Parasect,Parasect,파라섹트,派拉斯特,派拉斯特
NAME_PkMn_VENONAT,Venonat,コンパン,Mimitoss,Bluzuk,Venonat,Venonat,콘팡,毛球,毛球
NAME_PkMn_VENOMOTH,Venomoth,モルフォン,Aéromite,Omot,Venomoth,Venomoth,도나리,摩魯蛾,摩鲁蛾
NAME_PkMn_DIGLETT,Diglett,ディグダ,Taupiqueur,Digda,Diglett,Diglett,디그다,地鼠,地鼠
NAME_PkMn_DUGTRIO,Dugtrio,ダグトリオ,Triopikeur,Digdri,Dugtrio,Dugtrio,닥트리오,三地鼠,三地鼠
NAME_PkMn_MEOWTH,Meowth,ニャース,Miaouss,Mauzi,Meowth,Meowth,나옹,喵喵,喵喵
NAME_PkMn_PERSIAN,Persian,ペルシアン,Persian,Snobilikat,Persian,Persian,페르시온,貓老大,貓老大
NAME_PkMn_PSYDUCK,Psyduck,コダック,Psykokwak,Enton,Psyduck,Psyduck,고라파덕,可達鴨,可达鸭
NAME_PkMn_GOLDUCK,Golduck,ゴルダック,Akwakwak,Entoron,Golduck,Golduck,골덕,哥達鴨,哥达鸭
NAME_PkMn_MANKEY,Mankey,マンキー,Férosinge,Mankey,Mankey,Mankey,망키,猴怪,猴怪
NAME_PkMn_PRIMAPE,Primape,オコリザル,Colosinge,Rasaff,Primape,Primape,성원숭,火爆猴,火爆猴
NAME_PkMn_GROWLITHE,Growlithe,ガーディ,Caninos,Fuakno,Growlithe,Growlithe,가디,卡蒂狗,卡蒂狗
NAME_PkMn_ARCANINE,Arcanine,ウインディ,Arcanin,Arkani,Arcanine,Arcanine,윈디,風速狗,风速狗
NAME_PkMn_POLIWAG,Poliwag,ニョロモ,Ptitard,Quapsel,Poliwag,Poliwag,발챙이,蚊香蝌蚪,蚊香蝌蚪
