No.,Japanese,English
1,フシギダネ,Bulbasaur
2,フシギソウ,Ivysaur
3,フシギバナ,Venusaur
4,ヒトカゲ,Charmander
5,リザード,Charmeleon
6,リザードン,Charizard
7,ゼニガメ,Squirtle
8,カメール,Wartortle
9,カメックス,Blastoise
10,キャタピー,Caterpie
11,トランセル,Metapod
12,バタフリー,Butterfree
13,ビードル,Weedle
14,コクーン,Kakuna
15,スピアー,Beedrill
16,ポッポ,Pidgey
17,ピジョン,Pidgeotto
18,ピジョット,Pidgeot
19,コラッタ,Rattata
20,ラッタ,Raticate
21,オニスズメ,Spearow
22,オニドリル,Fearow
23,アーボ,Ekans
24,アーボック,Arbok
25,ピカチュウ,Pikachu
26,ライチュウ,Raichu
27,サンド,Sandshrew
28,サンドパン,Sandslash
29,ニドラン♀,Nidoran♀
30,ニドリーナ,Nidorina
31,ニドクイン,Nidoqueen
32,ニドラン♂,Nidoran♂
33,ニドリーノ,Nidorino
34,ニドキング,Nidoking
35,ピッピ,Clefairy
36,ピクシー,Clefable
37,ロコン,Vulpix
38,キュウコン,Ninetales
39,プリン,Jigglypuff
40,プクリン,Wigglytuff
41,ズバット,Zubat
42,ゴルバット,Golbat
43,ナゾノクサ,Oddish
44,クサイハナ,Gloom
45,ラフレシア,Vileplume
46,パラス,Paras
47,パラセクト,Parasect
48,コンパン,Venonat
49,モルフォン,Venomoth
50,ディグダ,Diglett
51,ダグトリオ,Dugtrio
52,ニャース,Meowth
53,ペルシアン,Persian
54,コダック,Psyduck
55,ゴルダック,Golduck
56,マンキー,Mankey
57,オコリザル,Primeape
58,ガーディ,Growlithe
59,ウインディ,Arcanine
60,ニョロモ,Poliwag
61,ニョロゾ,Poliwhirl
62,ニョロボン,Poliwrath
63,ケーシィ,Abra
64,ユンゲラー,Kadabra
65,フーディン,Alakazam
66,ワンリキー,Machop
67,ゴーリキー,Machoke
68,カイリキー,Machamp
69,マダツボミ,Bellsprout
70,ウツドン,Weepinbell
71,ウツボット,Victreebel
72,メノクラゲ,Tentacool
73,ドククラゲ,Tentacruel
74,イシツブテ,Geodude
75,ゴローン,Graveler
76,ゴローニャ,Golem
77,ポニータ,Ponyta
78,ギャロップ,Rapidash
79,ヤドン,Slowpoke
80,ヤドラン,Slowbro
81,コイル,Magnemite
82,レアコイル,Magneton
83,カモネギ,Farfetch'd
84,ドードー,Doduo
85,ドードリオ,Dodrio
86,パウワウ,Seel
87,ジュゴン,Dewgong
88,ベトベター,Grimer
89,ベトベトン,Muk
90,シェルダー,Shellder
91,パルシェン,Cloyster
92,ゴース,Gastly
93,ゴースト,Haunter
94,ゲンガー,Gengar
95,イワーク,Onix
96,スリープ,Drowzee
97,スリーパー,Hypno
98,クラブ,Krabby
99,キングラー,Kingler
100,ビリリダマ,Voltorb
101,マルマイン,Electrode
102,タマタマ,Exeggcute
103,ナッシー,Exeggutor
104,カラカラ,Cubone
105,ガラガラ,Marowak
106,サワムラー,Hitmonlee
107,エビワラー,Hitmonchan
108,ベロリンガ,Lickitung
109,ドガース,Koffing
110,マタドガス,Weezing
111,サイホーン,Rhyhorn
112,サイドン,Rhydon
113,ラッキー,Chansey
114,モンジャラ,Tangela
115,ガルーラ,Kangaskhan
116,タッツー,Horsea
117,シードラ,Seadra
118,トサキント,Goldeen
119,アズマオウ,Seaking
120,ヒトデマン,Staryu
121,スターミー,Starmie
122,バリヤード,Mr. Mime
123,ストライク,Scyther
124,ルージュラ,Jynx
125,エレブー,Electabuzz
126,ブーバー,Magmar
127,カイロス,Pinsir
128,ケンタロス,Tauros
129,コイキング,Magikarp
130,ギャラドス,Gyarados
131,ラプラス,Lapras
132,メタモン,Ditto
133,イーブイ,Eevee
134,シャワーズ,Vaporeon
135,サンダース,Jolteon
136,ブースター,Flareon
137,ポリゴン,Porygon
138,オムナイト,Omanyte
139,オムスター,Omastar
140,カブト,Kabuto
141,カブトプス,Kabutops
142,プテラ,Aerodactyl
143,カビゴン,Snorlax
144,フリーザー,Articuno
145,サンダー,Zapdos
146,ファイヤー,Moltres
147,ミニリュウ,Dratini
148,ハクリュー,Dragonair
149,カイリュー,Dragonite
150,ミュウツー,Mewtwo
151,ミュウ,Mew
152,チコリータ,Chikorita
153,ベイリーフ,Bayleef
154,メガニウム,Meganium
155,ヒノアラシ,Cyndaquil
156,マグマラシ,Quilava
157,バクフーン,Typhlosion
158,ワニノコ,Totodile
159,アリゲイツ,Croconaw
160,オーダイル,Feraligatr
161,オタチ,Sentret
162,オオタチ,Furret
163,ホーホー,Hoothoot
164,ヨルノズク,Noctowl
165,レディバ,Ledyba
166,レディアン,Ledian
167,イトマル,Spinarak
168,アリアドス,Ariados
169,クロバット,Crobat
170,チョンチー,Chinchou
171,ランターン,Lanturn
172,ピチュー,Pichu
173,ピィ,Cleffa
174,ププリン,Igglybuff
175,トゲピー,Togepi
176,トゲチック,Togetic
177,ネイティ,Natu
178,ネイティオ,Xatu
179,メリープ,Mareep
180,モココ,Flaaffy
181,デンリュウ,Ampharos
182,キレイハナ,Bellossom
183,マリル,Marill
184,マリルリ,Azumarill
185,ウソッキー,Sudowoodo
186,ニョロトノ,Politoed
187,ハネッコ,Hoppip
188,ポポッコ,Skiploom
189,ワタッコ,Jumpluff
190,エイパム,Aipom
191,ヒマナッツ,Sunkern
192,キマワリ,Sunflora
193,ヤンヤンマ,Yanma
194,ウパー,Wooper
195,ヌオー,Quagsire
196,エーフィ,Espeon
197,ブラッキー,Umbreon
198,ヤミカラス,Murkrow
199,ヤドキング,Slowking
200,ムウマ,Misdreavus
201,アンノーン,Unown
202,ソーナンス,Wobbuffet
203,キリンリキ,Girafarig
204,クヌギダマ,Pineco
205,フォレトス,Forretress
206,ノコッチ,Dunsparce
207,グライガー,Gligar
208,ハガネール,Steelix
209,ブルー,Snubbull
210,グランブル,Granbull
211,ハリーセン,Qwilfish
212,ハッサム,Scizor
213,ツボツボ,Shuckle
214,ヘラクロス,Heracross
215,ニューラ,Sneasel
216,ヒメグマ,Teddiursa
217,リングマ,Ursaring
218,マグマッグ,Slugma
219,マグカルゴ,Magcargo
220,ウリムー,Swinub
221,イノムー,Piloswine
222,サニーゴ,Corsola
223,テッポウオ,Remoraid
224,オクタン,Octillery
225,デリバード,Delibird
226,マンタイン,Mantine
227,エアームド,Skarmory
228,デルビル,Houndour
229,ヘルガー,Houndoom
230,キングドラ,Kingdra
231,ゴマゾウ,Phanpy
232,ドンファン,Donphan
233,ポリゴン２,Porygon2
234,オドシシ,Stantler
235,ドーブル,Smeargle
236,バルキー,Tyrogue
237,カポエラー,Hitmontop
238,ムチュール,Smoochum
239,エレキッド,Elekid
240,ブビィ,Magby
241,ミルタンク,Miltank
242,ハピナス,Blissey
243,ライコウ,Raikou
244,エンテイ,Entei
245,スイクン,Suicune
246,ヨーギラス,Larvitar
247,サナギラス,Pupitar
248,バンギラス,Tyranitar
249,ルギア,Lugia
250,ホウオウ,Ho-Oh
251,セレビィ,Celebi
252,キモリ,Treecko
253,ジュプトル,Grovyle
254,ジュカイン,Sceptile
255,アチャモ,Torchic
256,ワカシャモ,Combusken
257,バシャーモ,Blaziken
258,ミズゴロウ,Mudkip
259,ヌマクロー,Marshtomp
260,ラグラージ,Swampert
261,ポチエナ,Poochyena
262,グラエナ,Mightyena
263,ジグザグマ,Zigzagoon
264,マッスグマ,Linoone
265,ケムッソ,Wurmple
266,カラサリス,Silcoon
267,アゲハント,Beautifly
268,マユルド,Cascoon
269,ドクケイル,Dustox
270,ハスボー,Lotad
271,ハスブレロ,Lombre
272,ルンパッパ,Ludicolo
273,タネボー,Seedot
274,コノハナ,Nuzleaf
275,ダーテング,Shiftry
276,スバメ,Taillow
277,オオスバメ,Swellow
278,キャモメ,Wingull
279,ペリッパー,Pelipper
280,ラルトス,Ralts
281,キルリア,Kirlia
282,サーナイト,Gardevoir
283,アメタマ,Surskit
284,アメモース,Masquerain
285,キノココ,Shroomish
286,キノガッサ,Breloom
287,ナマケロ,Slakoth
288,ヤルキモノ,Vigoroth
289,ケッキング,Slaking
290,ツチニン,Nincada
291,テッカニン,Ninjask
292,ヌケニン,Shedinja
293,ゴニョニョ,Whismur
294,ドゴーム,Loudred
295,バクオング,Exploud
296,マクノシタ,Makuhita
297,ハリテヤマ,Hariyama
298,ルリリ,Azurill
299,ノズパス,Nosepass
300,エネコ,Skitty
301,エネコロロ,Delcatty
302,ヤミラミ,Sableye
303,クチート,Mawile
304,ココドラ,Aron
305,コドラ,Lairon
306,ボスゴドラ,Aggron
307,アサナン,Meditite
308,チャーレム,Medicham
309,ラクライ,Electrike
310,ライボルト,Manectric
311,プラスル,Plusle
312,マイナン,Minun
313,バルビート,Volbeat
314,イルミーゼ,Illumise
315,ロゼリア,Roselia
316,ゴクリン,Gulpin
317,マルノーム,Swalot
318,キバニア,Carvanha
319,サメハダー,Sharpedo
320,ホエルコ,Wailmer
321,ホエルオー,Wailord
322,ドンメル,Numel
323,バクーダ,Camerupt
324,コータス,Torkoal
325,バネブー,Spoink
326,ブーピッグ,Grumpig
327,パッチール,Spinda
328,ナックラー,Trapinch
329,ビブラーバ,Vibrava
330,フライゴン,Flygon
331,サボネア,Cacnea
332,ノクタス,Cacturne
333,チルット,Swablu
334,チルタリス,Altaria
335,ザングース,Zangoose
336,ハブネーク,Seviper
337,ルナトーン,Lunatone
338,ソルロック,Solrock
339,ドジョッチ,Barboach
340,ナマズン,Whiscash
341,ヘイガニ,Corphish
342,シザリガー,Crawdaunt
343,ヤジロン,Baltoy
344,ネンドール,Claydol
345,リリーラ,Lileep
346,ユレイドル,Cradily
347,アノプス,Anorith
348,アーマルド,Armaldo
349,ヒンバス,Feebas
350,ミロカロス,Milotic
351,ポワルン,Castform
352,カクレオン,Kecleon
353,カゲボウズ,Shuppet
354,ジュペッタ,Banette
355,ヨマワル,Duskull
356,サマヨール,Dusclops
357,トロピウス,Tropius
358,チリーン,Chimecho
359,アブソル,Absol
360,ソーナノ,Wynaut
361,ユキワラシ,Snorunt
362,オニゴーリ,Glalie
363,タマザラシ,Spheal
364,トドグラー,Sealeo
365,トドゼルガ,Walrein
366,パールル,Clamperl
367,ハンテール,Huntail
368,サクラビス,Gorebyss
369,ジーランス,Relicanth
370,ラブカス,Luvdisc
371,タツベイ,Bagon
372,コモルー,Shelgon
373,ボーマンダ,Salamence
374,ダンバル,Beldum
375,メタング,Metang
376,メタグロス,Metagross
377,レジロック,Regirock
378,レジアイス,Regice
379,レジスチル,Registeel
380,ラティアス,Latias
381,ラティオス,Latios
382,カイオーガ,Kyogre
383,グラードン,Groudon
384,レックウザ,Rayquaza
385,ジラーチ,Jirachi
386,デオキシス,Deoxys
387,ナエトル,Turtwig
388,ハヤシガメ,Grotle
389,ドダイトス,Torterra
390,ヒコザル,Chimchar
391,モウカザル,Monferno
392,ゴウカザル,Infernape
393,ポッチャマ,Piplup
394,ポッタイシ,Prinplup
395,エンペルト,Empoleon
396,ムックル,Starly
397,ムクバード,Staravia
398,ムクホーク,Staraptor
399,ビッパ,Bidoof
400,ビーダル,Bibarel
401,コロボーシ,Kricketot
402,コロトック,Kricketune
403,コリンク,Shinx
404,ルクシオ,Luxio
405,レントラー,Luxray
406,スボミー,Budew
407,ロズレイド,Roserade
408,ズガイドス,Cranidos
409,ラムパルド,Rampardos
410,タテトプス,Shieldon
411,トリデプス,Bastiodon
412,ミノムッチ,Burmy
413,ミノマダム,Wormadam
414,ガーメイル,Mothim
415,ミツハニー,Combee
416,ビークイン,Vespiquen
417,パチリス,Pachirisu
418,ブイゼル,Buizel
419,フローゼル,Floatzel
420,チェリンボ,Cherubi
421,チェリム,Cherrim
422,カラナクシ,Shellos
423,トリトドン,Gastrodon
424,エテボース,Ambipom
425,フワンテ,Drifloon
426,フワライド,Drifblim
427,ミミロル,Buneary
428,ミミロップ,Lopunny
429,ムウマージ,Mismagius
430,ドンカラス,Honchkrow
431,ニャルマー,Glameow
432,ブニャット,Purugly
433,リーシャン,Chingling
434,スカンプー,Stunky
435,スカタンク,Skuntank
436,ドーミラー,Bronzor
437,ドータクン,Bronzong
438,ウソハチ,Bonsly
439,マネネ,Mime Jr.
440,ピンプク,Happiny
441,ペラップ,Chatot
442,ミカルゲ,Spiritomb
443,フカマル,Gible
444,ガバイト,Gabite
445,ガブリアス,Garchomp
446,ゴンベ,Munchlax
447,リオル,Riolu
448,ルカリオ,Lucario
449,ヒポポタス,Hippopotas
450,カバルドン,Hippowdon
451,スコルピ,Skorupi
